
2024/05/13 (12:47:23) | ===> btop++ v.1.3.2
2024/05/13 (12:47:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (15:41:28) | ===> btop++ v.1.3.2
2024/05/13 (15:41:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (15:21:44) | ===> btop++ v.1.3.2
2024/05/15 (15:21:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (17:17:55) | ===> btop++ v.1.3.2
2024/05/15 (17:17:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (15:59:04) | ===> btop++ v.1.3.2
2024/05/16 (15:59:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/17 (17:39:14) | ===> btop++ v.1.3.2
2024/05/17 (17:39:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
